support,itemsets,length
0.024390243902439025,frozenset({'(vertigo) Paroymsal  Positional Vertigo'}),1
0.024390243902439025,frozenset({'AIDS'}),1
0.024390243902439025,frozenset({'Acne'}),1
0.024390243902439025,frozenset({'Alcoholic hepatitis'}),1
0.024390243902439025,frozenset({'Allergy'}),1
0.024390243902439025,frozenset({'Arthritis'}),1
0.024390243902439025,frozenset({'Bronchial Asthma'}),1
0.024390243902439025,frozenset({'Cervical spondylosis'}),1
0.024390243902439025,frozenset({'Chicken pox'}),1
0.024390243902439025,frozenset({'Chronic cholestasis'}),1
0.024390243902439025,frozenset({'Common Cold'}),1
0.024390243902439025,frozenset({'Dengue'}),1
0.024390243902439025,frozenset({'Diabetes'}),1
0.024390243902439025,frozenset({'Dimorphic hemmorhoids(piles)'}),1
0.024390243902439025,frozenset({'Drug Reaction'}),1
0.024390243902439025,frozenset({'Fungal infection'}),1
0.024390243902439025,frozenset({'GERD'}),1
0.024390243902439025,frozenset({'Gastroenteritis'}),1
0.024390243902439025,frozenset({'Heart attack'}),1
0.024390243902439025,frozenset({'Hepatitis B'}),1
0.024390243902439025,frozenset({'Hepatitis C'}),1
0.024390243902439025,frozenset({'Hepatitis D'}),1
0.024390243902439025,frozenset({'Hepatitis E'}),1
0.024390243902439025,frozenset({'Hypertension'}),1
0.024390243902439025,frozenset({'Hyperthyroidism'}),1
0.024390243902439025,frozenset({'Hypoglycemia'}),1
0.024390243902439025,frozenset({'Hypothyroidism'}),1
0.024390243902439025,frozenset({'Impetigo'}),1
0.024390243902439025,frozenset({'Jaundice'}),1
0.024390243902439025,frozenset({'Malaria'}),1
0.024390243902439025,frozenset({'Migraine'}),1
0.024390243902439025,frozenset({'Osteoarthristis'}),1
0.024390243902439025,frozenset({'Paralysis (brain hemorrhage)'}),1
0.024390243902439025,frozenset({'Peptic ulcer diseae'}),1
0.024390243902439025,frozenset({'Pneumonia'}),1
0.024390243902439025,frozenset({'Psoriasis'}),1
0.024390243902439025,frozenset({'Tuberculosis'}),1
0.024390243902439025,frozenset({'Typhoid'}),1
0.024390243902439025,frozenset({'Urinary tract infection'}),1
0.024390243902439025,frozenset({'Varicose veins'}),1
0.25609756097560976,frozenset({'abdominal_pain'}),1
0.023170731707317073,frozenset({'abdominal_swelling'}),1
0.04878048780487805,frozenset({'abnormal_menstruation'}),1
0.0475609756097561,frozenset({'acne'}),1
0.023170731707317073,frozenset({'acute_liver_failure'}),1
0.023170731707317073,frozenset({'altered_sensorium'}),1
0.024390243902439025,frozenset({'anal_pain'}),1
0.023170731707317073,frozenset({'anxiety'}),1
0.046341463414634146,frozenset({'back_pain'}),1
0.023170731707317073,frozenset({'bladder_discomfort'}),1
0.046341463414634146,frozenset({'bloating'}),1
0.09146341463414634,frozenset({'breathlessness'}),1
0.023170731707317073,frozenset({'bruising'}),1
0.14146341463414633,frozenset({'chest_pain'}),1
0.16463414634146342,frozenset({'chills'}),1
0.023170731707317073,frozenset({'cold_extremities'}),1
0.024390243902439025,frozenset({'coma'}),1
0.046341463414634146,frozenset({'constipation'}),1
0.11463414634146342,frozenset({'cough'}),1
0.023170731707317073,frozenset({'cramps'}),1
0.024390243902439025,frozenset({'dehydration'}),1
0.0475609756097561,frozenset({'depression'}),1
0.11463414634146342,frozenset({'diarrhoea'}),1
0.02195121951219512,frozenset({'dischromic_patches'}),1
0.06829268292682927,frozenset({'dizziness'}),1
0.023170731707317073,frozenset({'dry_lips'}),1
0.07073170731707316,frozenset({'edema'}),1
0.024390243902439025,frozenset({'enlarged_thyroid'}),1
0.0951219512195122,frozenset({'excessive_hunger'}),1
0.02195121951219512,frozenset({'extra_marital_contacts'}),1
0.046341463414634146,frozenset({'eye_irritation'}),1
0.046341463414634146,frozenset({'family_history'}),1
0.4036585365853659,frozenset({'fatigue'}),1
0.30365853658536585,frozenset({'fever'}),1
0.2304878048780488,frozenset({'headache'}),1
0.024390243902439025,frozenset({'hepatitis A'}),1
0.023170731707317073,frozenset({'history_of_alcohol_consumption'}),1
0.06829268292682927,frozenset({'indigestion'}),1
0.023170731707317073,frozenset({'irregular_sugar_level'}),1
0.09634146341463415,frozenset({'irritability'}),1
0.023170731707317073,frozenset({'irritation_in_anus'}),1
0.16097560975609757,frozenset({'itching'}),1
0.21829268292682927,frozenset({'jaundice'}),1
0.16341463414634147,frozenset({'joint_pain'}),1
0.023170731707317073,frozenset({'lack_of_concentration'}),1
0.23414634146341465,frozenset({'loss_of_appetite'}),1
0.024390243902439025,frozenset({'loss_of_smell'}),1
0.046341463414634146,frozenset({'mood_swings'}),1
0.02195121951219512,frozenset({'mouth_ulcers'}),1
0.09634146341463415,frozenset({'muscle_pain'}),1
0.02195121951219512,frozenset({'muscle_wasting'}),1
0.06951219512195123,frozenset({'muscle_weakness'}),1
0.04878048780487805,frozenset({'nail_abnormalities'}),1
0.024390243902439025,frozenset({'nasal_congestion'}),1
0.2329268292682927,frozenset({'nausea'}),1
0.046341463414634146,frozenset({'neck_pain'}),1
0.02195121951219512,frozenset({'nodal_skin_eruptions'}),1
0.046341463414634146,frozenset({'obesity'}),1
0.024390243902439025,frozenset({'pain_behind_the_eyes'}),1
0.07195121951219512,frozenset({'palpitations'}),1
0.09634146341463415,frozenset({'phlegm'}),1
0.024390243902439025,frozenset({'receiving_blood_transfusion'}),1
0.024390243902439025,frozenset({'receiving_unsterile_injections'}),1
0.046341463414634146,frozenset({'restlessness'}),1
0.024390243902439025,frozenset({'runny_nose'}),1
